timestamp,dataset,model_noise_type,model_noise_level,test_noise_type,test_noise_level,noisy_mae,noisy_psnr,noisy_ssim,denosied_mae,denoised_psnr,denoised_ssim
09_03_2023_16_25_30,faciesmark,gaussian,0.01,gaussian,0.001,0.025225261226296425,35.98152160644531,0.8762686848640442,0.06396079808473587,27.422882080078125,0.8715086579322815
09_03_2023_16_26_06,faciesmark,gaussian,0.01,gaussian,0.01,0.07975558936595917,25.982988357543945,0.4935762584209442,0.015929467976093292,36.61062240600586,0.9857507348060608
09_03_2023_16_26_35,faciesmark,gaussian,0.01,gaussian,0.025,0.12606880068778992,22.00674057006836,0.30265307426452637,0.04793892428278923,29.685327529907227,0.8984225392341614
09_03_2023_16_27_12,faciesmark,gaussian,0.01,gaussian,0.05,0.1781396120786667,19.0076847076416,0.18570353090763092,0.05092974752187729,28.90303611755371,0.8523675203323364
09_03_2023_16_27_40,faciesmark,gaussian,0.01,gaussian,0.1,0.25092604756355286,16.055980682373047,0.10437338054180145,0.060346879065036774,27.669498443603516,0.7581689953804016
09_03_2023_16_28_16,faciesmark,gaussian,0.01,gaussian,0.25,0.38416120409965515,12.520463943481445,0.046308733522892,0.09356577694416046,24.27448272705078,0.5225673317909241
09_03_2023_16_28_46,faciesmark,gaussian,0.01,gaussian,0.5,0.5028141736984253,10.438478469848633,0.02702629566192627,0.1286102533340454,21.687564849853516,0.3362823724746704
09_03_2023_16_29_18,faciesmark,gaussian,0.01,mixed,0.1,0.26492583751678467,15.761736869812012,0.18367615342140198,0.04050035774707794,30.0968017578125,0.9204098582267761
09_03_2023_16_29_54,faciesmark,gaussian,0.01,poisson,0.1,0.0580618716776371,29.04137420654297,0.6363337635993958,0.05199798196554184,28.651620864868164,0.9023441076278687
09_03_2023_16_30_22,faciesmark,gaussian,0.05,gaussian,0.001,0.025225261226296425,35.98152160644531,0.8762686848640442,0.06338384747505188,27.59321403503418,0.8589503169059753
09_03_2023_16_30_58,faciesmark,gaussian,0.05,gaussian,0.01,0.07975558936595917,25.982988357543945,0.4935762584209442,0.04119226709008217,30.9008731842041,0.9373112916946411
09_03_2023_16_31_27,faciesmark,gaussian,0.05,gaussian,0.025,0.12606880068778992,22.00674057006836,0.30265307426452637,0.027691686525940895,33.60013198852539,0.9689913988113403
09_03_2023_16_32_02,faciesmark,gaussian,0.05,gaussian,0.05,0.1781396120786667,19.0076847076416,0.18570353090763092,0.02426348440349102,34.19660186767578,0.9728307127952576
09_03_2023_16_32_38,faciesmark,gaussian,0.05,gaussian,0.1,0.25092604756355286,16.055980682373047,0.10437338054180145,0.05135837569832802,28.976520538330078,0.8951249718666077
09_03_2023_16_33_09,faciesmark,gaussian,0.05,gaussian,0.25,0.38416120409965515,12.520463943481445,0.046308733522892,0.07654675841331482,25.74112892150879,0.7200949192047119
09_03_2023_16_33_44,faciesmark,gaussian,0.05,gaussian,0.5,0.5028141736984253,10.438478469848633,0.02702629566192627,0.09855971485376358,23.716581344604492,0.5016076564788818
09_03_2023_16_34_12,faciesmark,gaussian,0.05,mixed,0.1,0.26492583751678467,15.761736869812012,0.18367615342140198,0.03885661065578461,31.33460807800293,0.9366827011108398
09_03_2023_16_34_49,faciesmark,gaussian,0.05,poisson,0.1,0.0580618716776371,29.04137420654297,0.6363337635993958,0.05852474644780159,28.014577865600586,0.8553715348243713
